Sample,Cq,copies/uL,,conversion,final
Site 4 1-1,34.42,9.64E-04,,400,0.39
Site 4 2-2,37.08,8.50E-05,below,,
Site 4 3-2,27.1,7.64E-01,,400,305.60
Site 1 3-2,36.16,3.00E-03,,400,1.20
Site 1 3-3,35.44,5.03E-03,,400,2.01
Site 1 4-1,34.36,1.09E-02,,400,4.36
Site 1 4-2,33.4,2.15E-02,,400,8.60
Site 1 4-3,35.45,4.99E-03,,400,2.00
